config,d_model,layers,dropout,params_total,params_trainable,slot_f1,slot_p,slot_r,slot_o_f1,slot_non_o_avg_f1,intent_acc,intent_f1,best_epoch,total_epochs,time_total,time_avg_epoch,best_train_loss,best_dev_loss
"{'lr': 0.001, 'd_model': 64, 'n_heads': 2, 'num_layers': 2, 'ff_dim': 128, 'dropout': 0.1, 'n_epochs': 100, 'patience': 15}",64,2,0.1,198236,198236,0.8822098679638638,0.8698184309695101,0.8949594642227705,0,0.5763380630839775,0.9316909294512878,0.5403843593341511,88,100,181.99302124977112,1.661852262020111,0.0034512022223290324,0.3442844431847334
"{'lr': 0.0005, 'd_model': 128, 'n_heads': 4, 'num_layers': 2, 'ff_dim': 256, 'dropout': 0.1, 'n_epochs': 120, 'patience': 15}",128,2,0.1,527388,527388,0.8856694012916739,0.8772475795297372,0.8942544941839972,0,0.5790034649969803,0.9204927211646137,0.4992589198935328,29,45,82.4420382976532,1.682779524061415,0.007411193732072466,0.2970939166843891
"{'lr': 0.0005, 'd_model': 128, 'n_heads': 8, 'num_layers': 3, 'ff_dim': 512, 'dropout': 0.1, 'n_epochs': 150, 'patience': 20}",128,3,0.1,857244,857244,0.8933496247163554,0.8848547717842323,0.9020091646105041,0,0.6121795955347881,0.9115341545352743,0.5182619167486935,37,58,127.53427267074585,2.044016180367305,0.003304115471213923,0.32959212455898523
"{'lr': 0.0003, 'd_model': 256, 'n_heads': 8, 'num_layers': 3, 'ff_dim': 512, 'dropout': 0.15, 'n_epochs': 150, 'patience': 20}",256,3,0.15,2106012,2106012,0.8928758056087789,0.8825757575757576,0.9034191046880508,0,0.6233782276800494,0.9193729003359462,0.4912603155159661,65,86,188.26129412651062,2.0398090966912203,0.00280636807292467,0.20721216686069965
"{'lr': 0.0002, 'd_model': 256, 'n_heads': 8, 'num_layers': 4, 'ff_dim': 1024, 'dropout': 0.15, 'n_epochs': 200, 'patience': 25}",256,4,0.15,3683740,3683740,0.8972290424412487,0.8928446771378709,0.9016566795911174,0,0.6171284641875666,0.9339305711086227,0.53370250544612,57,83,215.27992296218872,2.4302325794495734,0.0024809963098959996,0.24897448532283306
