epoch,train_loss,dev_loss
0,5.8095479011535645,4.923133850097656
1,4.694345951080322,4.583171844482422
2,4.424530506134033,4.435933589935303
3,4.279482364654541,4.353740215301514
4,4.184741973876953,4.29647970199585
5,4.118371486663818,4.253712177276611
6,4.068380355834961,4.224636077880859
7,4.027912139892578,4.196414947509766
8,3.994036912918091,4.1759257316589355
9,3.9647552967071533,4.156656742095947
10,3.938328266143799,4.139923572540283
11,3.9144601821899414,4.127577781677246
12,3.8930492401123047,4.113243579864502
13,3.872985601425171,4.1010308265686035
14,3.8544278144836426,4.08964204788208
15,3.8373889923095703,4.077486515045166
16,3.8216028213500977,4.069124221801758
17,3.807166576385498,4.058224678039551
18,3.7939348220825195,4.050971508026123
19,3.781182050704956,4.04248571395874
20,3.7696173191070557,4.038470268249512
21,3.7593064308166504,4.031641006469727
22,3.7491159439086914,4.0269269943237305
23,3.7395594120025635,4.026256561279297
24,3.7305960655212402,4.016941547393799
