epoch,train_loss,dev_loss
0,5.6571044921875,4.821066856384277
1,4.550473213195801,4.452391147613525
2,4.236464500427246,4.292261123657227
3,4.065677165985107,4.2144951820373535
4,3.953892707824707,4.159051895141602
5,3.8710262775421143,4.119997024536133
6,3.8049471378326416,4.088140487670898
7,3.7494611740112305,4.064201354980469
8,3.7013168334960938,4.04387092590332
9,3.6595053672790527,4.022589683532715
10,3.622953176498413,4.0079145431518555
11,3.5905580520629883,3.9955575466156006
12,3.5616402626037598,3.985558032989502
13,3.535022497177124,3.9792673587799072
14,3.510725259780884,3.9693892002105713
15,3.4884891510009766,3.9617815017700195
16,3.4670920372009277,3.9525277614593506
17,3.447402238845825,3.945369243621826
18,3.428946018218994,3.944237232208252
19,3.4112186431884766,3.9378786087036133
20,3.3947160243988037,3.9329559803009033
21,3.3786792755126953,3.9266722202301025
22,3.363431215286255,3.9244368076324463
23,3.349004030227661,3.920275926589966
24,3.3351168632507324,3.918252944946289
25,3.321559190750122,3.914668321609497
26,3.3087971210479736,3.9100568294525146
27,3.2961931228637695,3.9088950157165527
28,3.2841498851776123,3.9077281951904297
29,3.27229380607605,3.909339666366577
