epoch,train_loss,dev_loss
0,6.335861682891846,5.782253742218018
1,5.641667366027832,5.425816535949707
2,5.386178970336914,5.2140703201293945
3,5.152702808380127,4.964122772216797
4,4.909271717071533,4.751741409301758
5,4.714529514312744,4.616580963134766
6,4.580087184906006,4.5244669914245605
7,4.477269649505615,4.45001220703125
8,4.389795780181885,4.381563186645508
9,4.314651012420654,4.3326263427734375
10,4.249372482299805,4.286186695098877
11,4.194412708282471,4.242883205413818
12,4.1445631980896,4.202521324157715
13,4.102308750152588,4.173513889312744
14,4.064903736114502,4.145568370819092
15,4.033931732177734,4.12419319152832
16,4.00478458404541,4.105387210845947
17,3.9787940979003906,4.080458641052246
18,3.955157995223999,4.058664321899414
19,3.9332847595214844,4.041713714599609
20,3.9135193824768066,4.024182319641113
21,3.894615411758423,4.013143062591553
22,3.878260612487793,3.9953973293304443
23,3.863079071044922,3.9849979877471924
24,3.848126173019409,3.972162961959839
25,3.834866762161255,3.9662606716156006
26,3.8207192420959473,3.95099139213562
27,3.809812068939209,3.939107656478882
28,3.7981343269348145,3.929206132888794
29,3.7878482341766357,3.921159029006958
