config,best_val_ppl,test_ppl,test_loss,test_acc,time
"{'rank': 1, 'alpha': 1, 'lr': 0.0001}",1.498574306104012,1.4764943279234788,tensor(0.3897),0.006675980617550313,1926.089677810669
"{'rank': 2, 'alpha': 1, 'lr': 0.0001}",1.3117706052787736,1.301247973860948,tensor(0.2633),0.00521699147596647,2574.811825275421
"{'rank': 4, 'alpha': 1, 'lr': 5e-05}",1.6701849799475839,1.6404499925101705,tensor(0.4950),0.006269232129593605,3216.8054060935974
"{'rank': 8, 'alpha': 2, 'lr': 5e-05}",1.426932256258501,1.416128747752029,tensor(0.3479),0.0057210059066954335,3854.2495515346527
"{'rank': 16, 'alpha': 2, 'lr': 2e-05}",5.339759179001703,4.952809358361698,tensor(1.6000),0.006729034768153362,4510.074325561523
